transaction_id,date,description,amount,direction,mcc,category,_merchant,_is_holdout
49,2024-05-22,POS LIME,8100.0,debit,,Одежда и обувь,LIME,False
85,2024-04-06,POS APTEKA 36.6,409.0,debit,,Здоровье,Аптека 36.6,False
34,2024-06-17,PEREKRESTOK,1890.0,debit,5411,Продукты,Перекресток,False
227,2024-05-15,Яндекс Практикум абоеннтская плата,22950.0,debit,8299,Образование,Яндекс Практикум,False
231,2024-06-13,ООплата услуг Водоканал,5500.0,debit,4814,ЖКХ и связь,Водоканал,False
203,2024-05-07,O'KEY,4799.0,debit,,Продукты,О'Кей,False
107,2024-06-30,RZHD KAZAN RUS,35350.0,debit,4511,Путешествия,РЖД,False
93,2024-05-17,ZARA VORONEZH RUS,7390.0,debit,,Одежда и обувь,Zara,False
349,2024-06-11,ИП Петров И.А.,7631.86,debit,,Прочее,Петров И.А.,False
11,2024-04-11,OPLATA SITIDRAYV,409.0,debit,4111,Транспорт,Ситидрайв,False
445,2024-05-29,WILDBERRIES,7000.0,debit,,Прочее,,False
362,2024-06-02,ИП Иванов Е.А.,6310.26,debit,,Прочее,Иванов Е.А.,False
394,2024-06-05,Пополнение счета от Петрова Е.Д.,1100.0,credit,,Прочие доходы,ВТБ Страхование,False
75,2024-06-18,Списание ЖКУ Газпром Межрегионгаз,2509.0,debit,4814,ЖКХ и связь,Газпром Межрегионгаз,False
374,2024-06-05,ИП Смирнов В.. репетитор английского,23000.0,debit,8220,Образование,Смирнов В.Е.,False
417,2024-06-01,Начисление процентов на остаток,65900.0,credit,,Прочие доходы,Столички,False
72,2024-05-21,SITIDRAYV,990.0,debit,,Транспорт,Ситидрайв,False
327,2024-06-11,POKUPKA AROMAMANIYA VORONEZH,690.0,debit,,Красота и уход,Аромамания,True
332,2024-06-06,TERMINAL 275864 TAKSOVICHKOF EKATERINBURG,1399.0,debit,5541,Транспорт,ТаксовичкоФ,True
333,2024-05-17,POKUPKA KVEST-HAUS ROSTOV-NA-DONU,2799.0,debit,,Развлечения,Квест-Хаус,True
151,2024-04-11,OPLATA SM-KLINIKA,2050.0,debit,8099,Здоровье,СМ-Клиника,False
24,2024-06-02,ИП Петрова А.Н. частный извоз,149.0,debit,5541,Транспорт,Петрова А.Н.,False
15,2024-05-30,Списание ЖКУ Водоканал,2999.0,debit,,ЖКХ и связь,Водоканал,False
185,2024-06-02,OPLATA TOVAROV SVAZNOY,38509.0,debit,5734,Электроника и техника,Связной,False
440,2024-05-21,Списание по операции №780891,4390.0,debit,,Прочее,,False
134,2024-06-08,POBEDA*780558,2190.0,debit,7011,Путешествия,Победа,False
101,2024-05-20,ИП Федоров А.А. репетитор математики,12090.0,debit,8299,Образование,Федоров А.А.,False
66,2024-05-07,POKUPKA LIME MOSKVA,2809.0,debit,,Одежда и обувь,LIME,False
13,2024-05-03,OPLATA LUKOYL AZS,1750.0,debit,4121,Транспорт,Лукойл АЗС,False
249,2024-04-30,CINNBON*558245,3690.0,debit,5812,Кафе и рестораны,Cinnabon,False
36,2024-04-07,OPLATA PYATEROCHKA,1050.0,debit,5411,Продукты,Пятёрочка,False
