transaction_id,date,description,amount,direction,mcc,category,_merchant,_is_holdout
0,2024-05-10,POKUPKA MTS MAGAZIN SAMARA,50450.0,debit,5732,Электроника и техника,МТС Магазин,False
1,2024-06-19,POS O'KEY,2350.0,debit,5411,Продукты,О'Кей,False
2,2024-05-18,CINABON*892401,3350.0,debit,5814,Кафе и рестораны,Cinnabon,False
3,2024-06-25,POKUPKA TEREMOK UFA,3109.0,debit,,Кафе и рестораны,Теремок,False
4,2024-06-14,OPLATA TOVROV S7 AIRLINES,1050.0,debit,4112,Путешествия,S7 Airlines,False
5,2024-04-08,POS CASTORAMA,7799.0,debit,,Дом и ремонт,Castorama,False
6,2024-06-30,Перевод по номеру телефона +7 999 873-39-64,32809.0,debit,,Переводы,Иванова М.Т.,False
7,2024-05-18,OPLATA VKUSVILL,3150.0,debit,5422,Продукты,ВкусВилл,False
8,2024-06-13,МТС аббонентская плата,6500.0,debit,4814,ЖКХ и связь,МТС,False
9,2024-06-03,POKUPKA DIKSI NOVOSIBIRSK,150.0,debit,5412,Продукты,Дикси,False
10,2024-05-21,OLPATA TOVAROV VKUSNO I TOCHKA,2450.0,debit,5814,Кафе и рестораны,Вкусно и точка,False
11,2024-06-04,POS YANDEKS PLYYUS,409.0,debit,,Развлечения,Яндекс Плюс,False
12,2024-05-31,O'KEY UFA RUS,3990.0,debit,5411,Продукты,О'Кей,False
13,2024-06-14,OPLATA CINNABON,299.0,debit,,Кафе и рестораны,Cinnabon,False
14,2024-06-21,TERMINAL 384162 MTS MAGAZIN UFA,14250.0,debit,,Электроника и техника,МТС Магазин,False
15,2024-05-11,OPLATA KINOTEATR KARO,400.0,debit,,Развлечения,Кинотеатр Каро,False
16,2024-05-26,TERMINAL 445150 TEREMOK KAZAN,549.0,debit,5812,Кафе и рестораны,Теремок,False
17,2024-04-16,OPLATA H&M,11790.0,debit,5661,Одежда и обувь,H&M,False
18,2024-06-16,TERMINAL 766416 MAGNIT KOSMETIK KAZAN,2190.0,debit,7298,Красота и уход,Магнит Косметик,False
19,2024-06-13,SPAR,3990.0,debit,5422,Продукты,Spar,False
20,2024-05-27,IL DE BOTE*549410,6699.0,debit,7230,Красота и уход,Иль Де Ботэ,False
21,2024-04-18,IKEA*847313,15899.0,debit,,Дом и ремонт,IKEA,False
22,2024-04-18,MOSKOVSKIY METROPOLITEN*59132,1799.0,debit,4111,Транспорт,Московский метрополитен,False
23,2024-06-11,MAGNIT,200.0,debit,5412,Продукты,Магнит,False
24,2024-05-08,Кэшбэк по карте,20290.0,credit,,Прочие доходы,Yandex Travel,False
25,2024-05-10,OPLATA LUKOYL AZS,1500.0,debit,4111,Транспорт,Лукойл АЗС,False
26,2024-06-05,POS MAGNIT,2049.0,debit,5412,Продукты,Магнит,False
27,2024-06-05,POS LENTA,2849.0,debit,,Продукты,Лента,False
28,2024-05-19,Совкомбанк Страхование абонентская плата,149.0,debit,6012,Финансовые услуги,Совкомбанк Страхование,False
29,2024-05-08,TERMINAL 891247 ZARA KRASNOYARSK,4090.0,debit,5651,Одежда и обувь,Zara,False
30,2024-05-03,POS L'ETUAL,7249.0,debit,7298,Красота и уход,Л'Этуаль,False
31,2024-06-14,Оплата УСЛ GeekBrains,14450.0,debit,,Образование,GeekBrains,False
32,2024-05-20,POS KINOPOISK,4009.0,debit,,Развлечения,Кинопоиск,False
33,2024-05-04,Возврат покупки Московский метрополитен,14090.0,credit,,Прочие доходы,Московский метрополитен,False
34,2024-04-01,ROSNEFT AZS*80856,2500.0,debit,5541,Транспорт,Роснефть АЗС,False
35,2024-05-11,PARK GORKOGO MOSKVA RUS,909.0,debit,5815,Развлечения,Парк Горького,False
36,2024-04-20,Списание ЖКУ Совкомбанк Страхование,950.0,debit,,Финансовые услуги,Совкомбанк Страхование,False
37,2024-05-14,POLATA ZENDEN,1290.0,debit,5661,Одежда и обувь,Zenden,False
38,2024-06-14,Внутрибанковский перевод Федоров П.А.,49890.0,credit,,Переводы,Федоров П.А.,False
39,2024-04-28,OPLATA H&M,1049.0,debit,5661,Одежда и обувь,H&M,False
40,2024-04-09,ИП Федоров Е.А. репетитор английского,11490.0,debit,8220,Образование,Федоров Е.А.,False
41,2024-06-05,TERMINAL 926660 LENTA SAMARA,599.0,debit,5412,Продукты,Лента,False
42,2024-05-17,TEREMOK,1549.0,debit,,Кафе и рестораны,Теремок,False
43,2024-04-24,TERMINAL 284572 AEROEKSPRSES NIZHNIY NOVGOROD,199.0,debit,7523,Транспорт,Аэроэкспресс,False
44,2024-06-23,PEREKRESTOK UFA RUS,1549.0,debit,,Продукты,Перекресток,False
45,2024-04-02,TERMINAL 373039 KFC UFA,3990.0,debit,5814,Кафе и рестораны,KFC,False
46,2024-04-28,PEREKRESTOK,5649.0,debit,5411,Продукты,Перекресток,False
47,2024-04-13,POOKUPKA TEREMOK KAZAN,1049.0,debit,5814,Кафе и рестораны,Теремок,False
48,2024-06-16,LEDORADO*752763,12209.0,debit,,Электроника и техника,Эльдорадо,False
49,2024-06-13,LUKOYL AZS*739761,1200.0,debit,5541,Транспорт,Лукойл АЗС,False
50,2024-04-13,OPLATA TOVAROV ROSNEFT AZS,2149.0,debit,,Транспорт,Роснефть АЗС,False
51,2024-04-02,POKUPKA SUSHI WOK EKATERINBURG,2890.0,debit,5812,Кафе и рестораны,Sushi Wok,False
52,2024-04-28,MU-MU,3649.0,debit,5812,Кафе и рестораны,Му-Му,False
53,2024-05-04,Перевод по номеру телефона +7 950 271-91-21,41109.0,credit,,Переводы,Попов А.Е.,False
54,2024-06-24,M.VIDEO KAZAN RUS,28300.0,debit,,Электроника и техника,М.Видео,False
55,2024-06-18,TERMINAL 175418 ECCO SAMARA,6150.0,debit,5661,Одежда и обувь,Ecco,False
56,2024-05-28,SPAR UFA RUS,4800.0,debit,5412,Продукты,Spar,False
57,2024-06-19,GeekBrains абонентская плата,18449.0,debit,,Образование,GeekBrains,False
58,2024-06-04,OPLATA TOVAROV PERREKRESTOK,5390.0,debit,5412,Продукты,Перекресток,False
59,2024-06-11,POS ROSNEFT AZS,700.0,debit,7523,Транспорт,Роснефть АЗС,False
60,2024-05-24,OZON.RU,100.0,debit,,Прочее,,False
61,2024-05-01,TEHNPOARK SAMARA RUS,38100.0,debit,5734,Электроника и техника,Технопарк,False
62,2024-05-14,POS PLAYSTATION STORE,2199.0,debit,,Развлечения,PlayStation Store,False
63,2024-06-20,OPLATA TOVAROV LERUA MERLEN,25149.0,debit,5211,Дом и ремонт,Леруа Мерлен,False
64,2024-05-08,Оплата Комиссия за обслуживание л/с 794202,2750.0,debit,,Финансовые услуги,Комиссия за обслуживание,False
65,2024-06-15,TOPGUN BARBERSHOP UFA RUS,3309.0,debit,7230,Красота и уход,TopGun Barbershop,False
66,2024-06-05,POKUPKA CINNABON NOVOSIBIRSK,650.0,debit,5814,Кафе и рестораны,Cinnabon,False
67,2024-05-11,POS ASHAN,5400.0,debit,5422,Продукты,Ашан,False
68,2024-06-16,OPLATA TOVAROV GAZPROMNEFT AZS,2349.0,debit,7523,Транспорт,Газпромнефть АЗС,False
69,2024-04-19,POKUPKA PRIME NOVOSIBIRSK,3000.0,debit,,Кафе и рестораны,Prime,False
70,2024-06-26,KOFE HAUZ*921538,1650.0,debit,5814,Кафе и рестораны,Кофе Хауз,False
71,2024-04-03,Кэшбэк по карте,3599.0,credit,,Прочие доходы,РЖД,False
72,2024-06-01,Перевод по номеру телефона +7 912 445-48-49,14050.0,debit,,Переводы,Иванов М.Е.,False
73,2024-04-29,POS MOSKOVSKIY METROPOLITEN,1990.0,debit,7523,Транспорт,Московский метрополитен,False
74,2024-04-24,BILAYN RITEYL,5709.0,debit,5732,Электроника и техника,Билайн Ритейл,False
75,2024-06-24,ТСЖ Пример абонентская плата,1800.0,debit,4814,ЖКХ и связь,ТСЖ Пример,False
76,2024-05-31,Перевод между своими счетами,46109.0,debit,,Переводы,Егорова Е.Ю.,False
77,2024-04-03,POKUPKA DOC+ SAMARA,8399.0,debit,8011,Здоровье,Doc+,False
78,2024-04-26,KKOFE HAUZ,1090.0,debit,5814,Кафе и рестораны,Кофе Хауз,False
79,2024-06-02,SHOKOLADNITSA,2649.0,debit,,Кафе и рестораны,Шоколадница,False
80,2024-05-17,POS SPORTMASTER,7850.0,debit,,Одежда и обувь,Спортмастер,False
81,2024-06-30,CINNABON KAZAN RUS,2149.0,debit,5812,Кафе и рестораны,Cinnabon,False
82,2024-04-30,ZENDEN*589730,7599.0,debit,,Одежда и обувь,Zenden,False
83,2024-06-23,Перевод СБП Попов А.Е.,15090.0,debit,,Переводы,Попов А.Е.,False
