transaction_id,date,description,amount,direction,mcc
0,2024-05-23,METRO*764665,3649.0,debit,
1,2024-04-06,TERMINAL 44351 HOFF VORONEZH,12600.0,debit,5211
2,2024-06-17,POS ASHAN,2649.0,debit,5411
3,2024-04-28,APTEKA 36.6,13299.0,debit,8099
4,2024-04-05,TERMINAL 92379 VSE INSTRUMENTY NIZHNIY NOVGOROD,3090.0,debit,
5,2024-06-07,POS PODRUZHKA,7399.0,debit,7230
6,2024-05-12,INVITRO,4699.0,debit,5912
7,2024-04-26,STEAM,700.0,debit,7994
8,2024-06-11,OPLATA O'KEY,1450.0,debit,
9,2024-06-17,Оплата услуг Мегафон,4650.0,debit,4814
10,2024-06-19,ИП Соколова Е.М. частный извоз,490.0,debit,4111
11,2024-06-02,Перевод между своими счетами,35190.0,credit,
12,2024-05-23,KINOTEATR KARO VORONEZH RUS,1049.0,debit,
13,2024-04-13,POS YANDEX TRAVEL,45050.0,debit,
14,2024-04-10,Оплата Т2 л/с 544202,849.0,debit,
15,2024-04-25,AHSAN,5949.0,debit,
16,2024-06-13,Перевод СБП Смирнова Н.О.,22199.0,credit,
17,2024-05-20,Списание ЖКУ Тинькофф Страхование,3909.0,debit,
18,2024-05-24,OPLATA TOVAROV DELIMOBIL,2990.0,debit,
19,2024-04-03,O'KEY,5390.0,debit,5411
20,2024-06-17,PARK GORKOGO ROSTOV-NA-DONU RUS,2149.0,debit,5815
21,2024-04-03,POKUPKA BOULING KOSMIK NIZHNIY NOVGOROD,1799.0,debit,7994
22,2024-06-29,OPLATA TOVAROV L'ETUAL,3909.0,debit,
23,2024-06-12,OPLAATA RENDEZ-VOUS,1509.0,debit,5661
24,2024-05-20,YANDEKS PLYUS,4600.0,debit,
25,2024-06-02,WILDBERRIES FASHION*215997,1950.0,debit,5651
26,2024-06-21,DELIMOBIL UFA RUS,100.0,debit,4111
27,2024-05-20,METRO ROSTOV-NA-DONU RUS,3790.0,debit,
28,2024-04-16,TERMINAL 993973 SPAR UFA,5109.0,debit,5412
29,2024-05-05,Выплата премии ООО СтройГрад,47090.0,credit,
30,2024-06-28,Сбербанк Комиссия абонентская плата,400.0,debit,6012
31,2024-05-11,TERMINAL 243409 GAZPROMNEFT AZS VORONEZH,2990.0,debit,4111
32,2024-04-07,Перевод СБП Сидорова Д.А.,1900.0,debit,
33,2024-05-20,TERMINAL 850637 FORMULA KINO ROSTOV-NA-DONU,409.0,debit,
34,2024-04-23,TTERMINAL 570393 PEREKRESTOK KAZAN,200.0,debit,5412
35,2024-05-16,Перевод между своими счетами,39199.0,debit,
36,2024-06-17,ZARA VORRONEZH RUS,5600.0,debit,5651
37,2024-05-21,П2П перевод Соколов С.А.,24750.0,debit,
38,2024-04-07,OPLATA TOVAROV IKEA,14699.0,debit,
39,2024-04-12,DIKSI,299.0,debit,5412
40,2024-05-23,OPLATA TOVAROV RE:STORE,1109.0,debit,5734
41,2024-05-29,POKUPKA L'ETUAL UFA,7000.0,debit,7298
42,2024-06-09,Перевод по номеру телефона +7 921 372-43-32,28749.0,debit,
43,2024-04-05,ИП Смирнов Т.А. частный извоз,1900.0,debit,7523
44,2024-05-11,OLPATA TOVAROV WINK,2599.0,debit,7832
45,2024-06-11,Московская Школа счет №962604,23899.0,debit,8220
46,2024-06-29,VKUSVILL*97866,4950.0,debit,
47,2024-05-19,Списание ЖКУ СОГАЗ,1049.0,debit,6051
48,2024-04-02,RIV GOSH NIZHNIY NOVGOROD RUS,2500.0,debit,
49,2024-04-18,TERMINAL 43606 PERKRESTOK SANKT-PETERBURG,249.0,debit,
