,Продукты,Кафе и рестораны,Транспорт,ЖКХ и связь,Здоровье,Развлечения,Одежда и обувь,Электроника и техника,Дом и ремонт,Образование,Путешествия,Красота и уход,Финансовые услуги,Переводы,Прочие доходы,Прочее
Продукты,62,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1
Кафе и рестораны,0,33,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Транспорт,0,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0
ЖКХ и связь,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
Здоровье,1,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0
Развлечения,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,2
Одежда и обувь,2,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
Электроника и техника,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0
Дом и ремонт,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0
Образование,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0
Путешествия,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
Красота и уход,2,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Финансовые услуги,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Переводы,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
Прочие доходы,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
Прочее,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
